order_reference,fecha_despacho,numero_bol,cliente_nombre,thermograph,total_cajas,total_lb,total_amount
1296,2026-04-16T00:00:00.000Z,1296,FRESHWAVE,,1296,11016.0,71280.0
124079,2026-04-18T00:00:00.000Z,124079,FRESHWAVE,,1104,9384.0,60720.0
124093,2026-04-20T00:00:00.000Z,124093,FRESHWAVE,,2448,20808.0,129744.0
124170,2026-04-30T00:00:00.000Z,124170,FRESHWAVE,R,1872,15912.0,44928.0
124188,2026-05-05T00:00:00.000Z,124188,FRESHWAVE,R,3744,34632.0,104832.0
141750,2026-04-15T00:00:00.000Z,141750,FRESHWAVE,X985878,720,6120.0,36000.0
141751,2026-04-15T00:00:00.000Z,141751,FRESHWAVE,X985878,432,3672.0,21600.0
1119200,2026-04-21T00:00:00.000Z,1119200,ALPINE,R96304,432,3240.0,23328.0
1119259,2026-04-25T00:00:00.000Z,1119259,ALPINE,R,391,2932.5,18963.5
1119272,2026-04-28T00:00:00.000Z,1119272,ALPINE,R,1784,8331.28,37464.0
1119285,2026-05-02T00:00:00.000Z,1119285,ALPINE,R,2440,24600.0,105520.0
1119295,2026-04-29T00:00:00.000Z,1119295,ALPINE,R,1440,10800.0,55440.0
1119317,2026-05-02T00:00:00.000Z,1119317,ALPINE,R,2304,17280.0,80640.0
1443100,2026-04-14T00:00:00.000Z,1443100,ALPINE,R95606,1100,15180.0,90200.0
1443104,2026-04-14T00:00:00.000Z,1443104,ALPINE,R96308,300,4140.0,24600.0
1443186,2026-04-20T00:00:00.000Z,1443186,ALPINE,X,1700,23460.0,139400.0
1443214,2026-04-21T00:00:00.000Z,1443214,ALPINE,R96034,1600,22080.0,131200.0
1443268,2026-04-16T00:00:00.000Z,1443268,ALPINE,,1656,22852.8,135792.0
1443305,2026-04-28T00:00:00.000Z,1443305,ALPINE,R97002,2200,30360.0,158400.0
1443318,2026-04-25T00:00:00.000Z,1443318,ALPINE,R95942,1800,24840.0,136800.0
1443320,2026-04-29T00:00:00.000Z,1443320,ALPINE,R,1800,24840.0,129600.0
1443395,2026-05-05T00:00:00.000Z,1443395,ALPINE,R,2300,31740.0,96600.0
1443419,2026-05-01T00:00:00.000Z,1443419,ALPINE,R,1200,16560.0,60000.0
1443420,2026-05-03T00:00:00.000Z,1443420,ALPINE,R,1200,16560.0,60000.0
1443421,2026-05-05T00:00:00.000Z,1443421,ALPINE,R,1200,16560.0,60000.0
1726195,2026-04-28T00:00:00.000Z,1726195,ALPINE,R,3888,34452.0,130032.0
1827128,2026-04-26T00:00:00.000Z,1827128,ALPINE,R,2484,21798.0,119880.0
1827174,2026-05-02T00:00:00.000Z,1827174,ALPINE,R,800,11040.0,49600.0
1827238,2026-05-05T00:00:00.000Z,1827238,ALPINE,R,2040,15300.0,89760.0
2027525,2026-04-30T00:00:00.000Z,2027525,ALPINE,R95523,2016,17136.0,60480.0
2027528,2026-04-30T00:00:00.000Z,2027528,ALPINE,R90430,1440,13320.0,47520.0
2027529,2026-05-02T00:00:00.000Z,2027529,ALPINE,R,1728,14688.0,39744.0
2027533,2026-05-02T00:00:00.000Z,2027533,ALPINE,,720,5400.0,33480.0
2027535,2026-04-22T00:00:00.000Z,2027535,ALPINE,R,1220,13020.0,71620.0
2027545,2026-04-22T00:00:00.000Z,2027545,ALPINE,,732,7812.0,42972.0
2027560,2026-04-23T00:00:00.000Z,2027560,ALPINE,R,1164,11484.0,62844.0
2027571,2026-04-24T00:00:00.000Z,2027571,ALPINE,R96273,1732,21612.0,109144.0
2027599,2026-05-02T00:00:00.000Z,2027599,ALPINE,R,720,6660.0,18000.0
2027608,2026-04-26T00:00:00.000Z,2027608,ALPINE,R,1132,13332.0,58520.0
2027631,2026-05-02T00:00:00.000Z,2027631,ALPINE,R,2408,27888.0,86576.0
2027632,2026-05-02T00:00:00.000Z,2027632,ALPINE,R,2408,27888.0,86576.0
2027662,2026-05-05T00:00:00.000Z,2027662,ALPINE,R,1832,22992.0,71104.0
4282026,2026-04-28T00:00:00.000Z,4282026,JAEMOR FARMS,,450,6210.0,27000.0
